03222320-2;Μήλα, αχλάδια και κυδώνια;
03222321-9;Μήλα;
03222322-6;Αχλάδια;
03222323-3;Κυδώνια;
03222330-5;Εμπύρηνα φρούτα;
03222331-2;Βερίκοκα;
03222332-9;Ροδάκινα;
03222333-6;Κεράσια;
03222334-3;Δαμάσκηνα;
03222340-8;Σταφύλια;
03222341-5;Επιτραπέζια σταφύλια;
03222342-2;Κρασοστάφυλα;
03222400-7;Ελιές;
03300000-2;Προϊόντα κτηνοτροφίας, θήρας και αλιείας;
03310000-5;Ψάρια, οστρακοειδή και υδρόβια προϊόντα;
03311000-2;Ψάρια;
03311100-3;Πλατύψαρα;
03311110-6;Γλώσσα;
03311120-9;Πησσί;
03311200-4;Ψάρια της οικογένειας του μπακαλιάρου;
03311210-7;Μπακαλιάρος;
03311220-0;Βακαλάος μελανόχρωμος;
03311230-3;Σαυρίδι;
03311240-6;Καλλαρίας;
03311300-5;Ρέγγα;
03311400-6;Τόνος;
03311500-7;Γάδος;
03311600-8;Μαρίδα;
03311700-9;Σολωμός;
03312000-9;Καρκινοειδή;
03312100-0;Στρείδια;
03312200-1;Οστρακοειδή;
03312300-2;Υδρόβια ασπόνδυλα;
03313000-6;Υδρόβια προϊόντα;
03313100-7;Κοράλλια ή παρόμοια προϊόντα;
03313200-8;Φυσικοί σπόγγοι;
03313300-9;Φύκια;
03313310-2;’λγες;
03320000-8;Μεγάλα ζώα, ζωικό κεφάλαιο και μικρά ζώα;
03321000-5;Μεγάλα ζώα;
03321100-6;Βοοειδή;
03321200-7;Μοσχάρια;
03322000-2;Ζωικό κεφάλαιο;
03322100-3;Πρόβατα;
03322200-4;Αίγες;
03322300-5;’λογα;
03323000-9;Χοιροειδή;
03324000-6;Ζώντα πουλερικά;
03325000-3;Μικρά ζώα;
03325100-4;Κουνέλια;
03325200-5;Λαγοί;
03330000-3;Προϊόντα ζώων εκτρεφόμενων σε αγροκτήματα;
03331000-0;Νωπό γάλα από αιγοπρόβατα;
03331100-1;Πρόβειο γάλα;
03331200-2;Κατσικίσιο γάλα;
03332000-7;Έριο και ζωικές τρίχες;
03332100-8;Κουρεμένο μαλλί;
03332200-9;Ζωικές τρίχες;
03333000-4;Νωπό αγελαδινό γάλα;
03340000-6;Ενώτια για το μαρκάρισμα ζώων;
03418000-3;Ακατέργαστοι κορμοί;
14212110-4;Αμμοχάλικο;
14212120-7;Κροκάλες;
14212200-2;Αδρανή υλικά;
14212210-5;Μείγμα αμμοχάλικου;
14212300-3;Τεμαχισμένοι και θρυμματισμένοι λίθοι;
14212310-6;Έρμα;
14212320-9;Θρυμματισμένος γρανίτης;
14212330-2;Θρυμματισμένος βασάλτης;
14212400-4;Χώμα;
14212410-7;Χώμα επιφανείας;
14212420-0;Υπέδαφος;
14212430-3;Θρυμματισμένοι λίθοι;
14213000-7;Σκυρόστρωμα, πισσοσκυρόστρωμα και αμμώδης ασφαλτική επίστρωση;
14213100-8;Σκυρόστρωμα;
14213200-9;Πισσοσκυρόστρωμα;
14213300-0;’μμος εμποτισμένη με πίσσα;
14220000-9;’ργιλος και καολίνη;
14221000-6;’ργιλος;
14222000-3;Καολίνη;
14300000-4;Χημικά και ορυκτά λιπάσματα;
14310000-7;Ορυκτά λιπάσματα;
14311000-4;Φυσικό ασβέστιο, φωσφορικό αργίλιο-ασβέστιο και άλλα φυσικά ακατέργαστα άλατα καλίου;
14311100-5;Φυσικό ασβέστιο;
14311200-6;Φωσφορικά άλατα αργιλίου-ασβεστίου;
14311300-7;Φυσικά ακατέργαστα άλατα του καλίου;
14312000-1;Σιδηροπυρίτες;
14312100-2;’φρυκτοι σιδηροπυρίτες;
14320000-0;Χημικά ορυκτά;
14400000-5;Αλάτι και καθαρό χλωριούχο νάτριο;
14410000-8;Ορυκτό αλάτι;
14420000-1;Θαλασσινό αλάτι;
14430000-4;Αλάτι προερχόμενο από εξάτμιση και καθαρό χλωριούχο νάτριο;
14450000-0;’λμη;
14500000-6;Προϊόντα ορυχείων και λατομείων;
14520000-2;Πολύτιμοι και ημιπολύτιμοι λίθοι? κισηρόλιθοι? σμύριδα? φυσικά λειαντικά? άλλα ορυκτά και πολύτιμα μέταλλα;
14521000-9;Πολύτιμοι και ημιπολύτιμοι λίθοι;
14521100-0;Πολύτιμοι λίθοι;
14521140-2;Κονιοποιημένοι πολύτιμοι λίθοι;
14521200-1;Ημιπολύτιμοι λίθοι;
14521210-4;Κονιοποιημένοι ημιπολύτιμοι λίθοι;
14522000-6;Βιομηχανικά διαμάντια? κισηρόλιθοι? σμύριδα? άλλα φυσικά λειαντικά;
14522100-7;Κισηρόλιθος;
14522200-8;Βιομηχανικά διαμάντια;
14522300-9;Σμύριδα;
14522400-0;Φυσικά λειαντικά;
14523000-3;Ορυκτά, πολύτιμα μέταλλα και συναφή προϊόντα;
14523100-4;Ορυκτά;
14523200-5;Χρυσός;
14523300-6;’ργυρος;
14523400-7;Λευκόχρυσος;
14600000-7;Μεταλλεύματα και μέταλλα;
14610000-0;Μεταλλεύματα;
14611000-7;Σιδηρομεταλλεύματα;
14612000-4;Μη σιδηρούχα μεταλλεύματα;
14612100-5;Μεταλλεύματα χαλκού;
14612200-6;Μεταλλεύματα νικελίου;
14612300-7;Μεταλλεύματα αλουμινίου;
14612400-8;Πολύτιμα μέταλλα;
